"","G","A","RepoUrl","Dataset","Cloned","LastCommitDate","Commits","Branches","Tags","Committers","CommitID","RootPOM","Compile","Test1","Tests","Test2"
"88","ExpediaDotCom","haystack-collector","https://github.com/ExpediaDotCom/haystack-collector.git","test","true","TueSep310:40:132019+0530",166,1,6,14,"58607330a0d0b10f4c7f59cab6047e0aaaa83f5c","true","true","true",2,"true"
"89","ExpediaDotCom","haystack-service-graph","https://github.com/ExpediaDotCom/haystack-service-graph.git","test","true","ThuNov1415:55:062019+0530",313,1,20,25,"41490994347e65ab42d80aca6b6100abfed13a46","true","true","false",NA,NA
"90","ExpediaDotCom","haystack-trends","https://github.com/ExpediaDotCom/haystack-trends.git","test","true","MonSep2314:39:082019+0530",517,1,9,25,"ee40ff771a25ab8f4f003fb943934ef8035ec130","true","true","true",0,"true"
"91","fabric8io","docker-client","https://github.com/fabric8io/docker-client.git","test","true","MonNov517:41:332018+0100",266,1,25,18,"196d9a6ea5e06c92b5759e0776deef00d48c217d","true","true","false",NA,NA
"92","fcrepo4-labs","fcrepo-api-x","https://github.com/fcrepo4-labs/fcrepo-api-x.git","test","true","ThuNov112:47:282018-0400",121,1,2,14,"69943540c35fc99fcb920a3a55e8e50a08792cb1","true","true","true",92,"true"
"93","fizzed","stork","https://github.com/fizzed/stork.git","test","true","MonJul2918:07:282019-0400",461,1,19,7,"fa85ea910556ebdd601031a233e4cb16295e587d","true","true","true",170,"true"
"94","flowable","flowable-engine","https://github.com/flowable/flowable-engine.git","test","true","WedDec1110:24:432019+0100",11959,1,15,371,"97ed29e8cef0ff145483133a3d85d5a60b16b1bd","true","true","false",NA,NA
"95","flowable","flowable-engine","https://github.com/flowable/flowable-engine.git","test","true","WedDec1110:24:432019+0100",11959,1,15,371,"97ed29e8cef0ff145483133a3d85d5a60b16b1bd","true","true","false",NA,NA
"96","gasches","micronaut-archetypes","https://github.com/gasches/micronaut-archetypes.git","test","true","ThuApr1109:44:012019+0300",37,1,1,2,"b7278a9bd6d2ffffba1943de125d817d0122408a","true","true","true",0,"true"
"97","gasches","micronaut-service-archetype","https://github.com/gasches/micronaut-service-archetype.git","test","true","ThuApr1109:44:012019+0300",37,1,1,2,"b7278a9bd6d2ffffba1943de125d817d0122408a","true","true","true",0,"true"
